dataset,token,rows,cols,target_sparsity_pct,actual_sparsity_pct,method,run,h2d_ms,build_kernel_ms,compute_kernel_ms,gpu_total_ms,raw_log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,cuBLASLt INT8 baseline,1,84.83789,52.78976,20.40627,158.03394,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,CUTLASS INT8 GEMM baseline,1,84.81104,52.75722,105.07674,242.645,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,cuSPARSE SpMM baseline,1,84.77475,65.56624,1.7623,152.10329,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,BiSp2D baseline,1,85.79539,0.30586,8.21862,94.62682,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,cuBLASLt INT8 baseline,2,84.76406,52.74582,20.39398,157.90387,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,CUTLASS INT8 GEMM baseline,2,84.77065,52.75971,105.14022,242.67059,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,cuSPARSE SpMM baseline,2,84.78742,65.60048,1.7623,152.15021,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,BiSp2D baseline,2,85.79795,0.30176,8.2176,94.336,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,cuBLASLt INT8 baseline,3,84.89357,52.7648,20.42573,158.08411,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,CUTLASS INT8 GEMM baseline,3,84.99293,52.75863,105.10848,242.86005,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,cuSPARSE SpMM baseline,3,84.84675,65.69865,1.7623,152.30771,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,BiSp2D baseline,3,85.80797,0.31398,8.20736,94.33395,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,cuBLASLt INT8 baseline,4,84.93594,52.77158,20.42368,158.1312,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,CUTLASS INT8 GEMM baseline,4,84.95434,52.75114,105.15149,242.85696,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,cuSPARSE SpMM baseline,4,84.87862,65.57465,1.76128,152.21456,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,BiSp2D baseline,4,85.82554,0.31005,8.21248,94.34726,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,cuBLASLt INT8 baseline,5,84.83533,52.75034,20.42982,158.01549,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,CUTLASS INT8 GEMM baseline,5,84.85251,52.74953,105.10745,242.7095,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,cuSPARSE SpMM baseline,5,85.05527,65.57968,1.76333,152.39828,amazon_fashion.log
Amazon Fashion,amazon_fashion,2035520,512,99.76,99.8046875,BiSp2D baseline,5,85.85277,0.31213,8.21146,94.37798,amazon_fashion.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,cuBLASLt INT8 baseline,1,168.44995,103.0657,70.2249,341.74054,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,CUTLASS INT8 GEMM baseline,1,168.59418,103.86355,104.27699,376.73474,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,cuSPARSE SpMM baseline,1,168.54198,151.4832,9.74541,329.77059,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,BiSp2D baseline,1,170.12086,1.01162,22.15834,193.31277,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,cuBLASLt INT8 baseline,2,168.51082,130.44086,69.82861,368.78027,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,CUTLASS INT8 GEMM baseline,2,168.58339,130.28329,104.27802,403.14471,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,cuSPARSE SpMM baseline,2,168.51047,165.29916,9.75155,343.56118,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,BiSp2D baseline,2,169.99869,1.01514,20.44928,191.47879,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,cuBLASLt INT8 baseline,3,168.4886,143.40028,69.83475,381.72363,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,CUTLASS INT8 GEMM baseline,3,168.47159,126.93808,109.01607,404.42572,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,cuSPARSE SpMM baseline,3,168.63184,123.12963,9.74336,301.50483,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,BiSp2D baseline,3,170.00604,1.01654,12.25523,182.86285,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,cuBLASLt INT8 baseline,4,168.60477,119.41776,69.79993,357.82245,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,CUTLASS INT8 GEMM baseline,4,168.65584,126.92688,108.86963,404.45233,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,cuSPARSE SpMM baseline,4,168.9688,126.45702,9.74438,305.1702,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,BiSp2D baseline,4,170.09674,1.01837,21.72928,192.83457,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,cuBLASLt INT8 baseline,5,168.79239,138.13831,70.25152,377.18222,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,CUTLASS INT8 GEMM baseline,5,168.46938,102.74829,104.26982,375.48749,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,cuSPARSE SpMM baseline,5,168.40282,165.56892,9.74336,343.7151,beauty_personal_care.log
Beauty & Personal Care,beauty_personal_care,2000000,1024,99.66,99.70703125,BiSp2D baseline,5,169.93239,1.0225,22.13786,193.10183,beauty_personal_care.log
"Clothing, Shoes & Jewelry",clothing_shoes_jewelry,1516928,2048,99.68,99.658203125,cuBLASLt INT8 baseline,1,254.18723,148.27037,211.84102,614.29858,clothing_shoes_jewelry.log
