dataset,method,runs,h2d_mean,h2d_std,kernel_mean,kernel_std,total_mean,total_std
Amazon Fashion,cuBLASLt,5,84.853358,0.06514444005438988,73.180356,0.02353795509384587,158.033722,0.08549109058843386
Amazon Fashion,CUTLASS,5,84.876294,0.09444515937833894,157.872122,0.02921798025188989,242.74842,0.10308996095643265
Amazon Fashion,cuSPARSE,5,84.868562,0.1127181434818706,67.366242,0.054455428287729604,152.23480999999998,0.11927026431596774
Amazon Fashion,BiSp2D,5,85.815924,0.023759582908800706,8.52226,0.002001661809597764,94.404402,0.12557409653268212
Beauty & Personal Care,cuBLASLt,5,168.569306,0.1371168221991808,196.880524,16.020475065786275,365.449822,16.077038985101385
Beauty & Personal Care,CUTLASS,5,168.554876,0.0818500240073325,224.29412399999998,15.273139282294924,392.848998,15.295021757740992
Beauty & Personal Care,cuSPARSE,5,168.61118199999999,0.2160231085323953,156.133198,20.554722801577007,324.74438000000004,20.386565266109674
Beauty & Personal Care,BiSp2D,5,170.030944,0.07711585654066115,20.762832,4.245295744170246,190.718162,4.449087777344923
"Clothing, Shoes & Jewelry",cuBLASLt,5,254.39849,0.23560069238013853,361.440634,6.253728468923948,615.839122,6.217760062005423
"Clothing, Shoes & Jewelry",CUTLASS,5,254.229548,0.08139841687649474,372.195286,1.4968846788346923,626.424828,1.4621043459411527
"Clothing, Shoes & Jewelry",cuSPARSE,5,254.315012,0.22798013273090326,191.967552,0.21311954713258988,446.282564,0.20886493334210376
"Clothing, Shoes & Jewelry",BiSp2D,5,256.671334,0.08028379307183242,34.620448,4.024290381516971,291.054182,4.349279031968394
Amazon Subscription Boxes,cuBLASLt,5,0.185166,0.001842438601419327,0.20313799999999999,0.03722490389510763,0.388302,0.037986442581531624
Amazon Subscription Boxes,CUTLASS,5,0.186406,0.0019361895568357932,0.86053,0.0017569860557215436,1.04694,0.001715153054394865
Amazon Subscription Boxes,cuSPARSE,5,0.263264,0.1767062837875326,0.201964,0.0024570877070222777,0.465228,0.17554410861660952
Amazon Subscription Boxes,BiSp2D,5,0.209702,0.0018361426959798146,0.114594,0.0014017774431057202,0.329728,0.004030349860744107
Appliances,cuBLASLt,5,1.238726,0.008939596187748056,1.225636,0.0019391828175806898,2.464358,0.007613768449329009
Appliances,CUTLASS,5,1.247348,0.025457256725735455,7.90783,0.005845472607069501,9.155174,0.025883486627577452
Appliances,cuSPARSE,5,1.275862,0.08850793422061101,1.366166,0.006364124448814657,2.64203,0.08929210435419256
Appliances,BiSp2D,5,1.27497,0.011147966182223525,0.690892,0.004760558790730405,1.975092,0.008792270468997177
Beauty & Personal Care (meta),cuBLASLt,5,55.26455,0.16897806410892263,54.027174,16.85730101545114,109.291724,16.98642338200953
Beauty & Personal Care (meta),CUTLASS,5,55.658998,1.0013208503621618,81.356502,13.092602810782894,137.015498,14.089056953468171
Beauty & Personal Care (meta),cuSPARSE,5,55.653912,0.9809510424939671,34.624364,0.13062760937106616,90.27828,0.9575443267807523
Beauty & Personal Care (meta),BiSp2D,5,55.631854,0.07697560152411995,3.915018,0.8623491832314798,59.55379,0.8922809421645195
Criteo,cuBLASLt,5,3.879086,0.008044238932304257,3.9577899999999997,0.013438128589948854,7.836876,0.013475389790280625
Criteo,CUTLASS,5,3.890798,0.022252034064327696,21.37845,0.3174876240107641,25.269248,0.31486066445334127
Criteo,cuSPARSE,5,3.89297,0.00843187405029279,8.93545,0.009071105224833122,12.828415999999999,0.013679898756935063
Criteo,BiSp2D,5,4.001282,0.1258271833508164,1.102066,0.006722293507427342,5.14089,0.18563388052831317
MSWeb,cuBLASLt,5,0.984546,0.09541928096564134,1.003858,0.004002489225469485,1.988404,0.09299268939008058
MSWeb,CUTLASS,5,0.947126,0.011459078496982198,4.205852,0.0030715256795279242,5.152974,0.012776426730506414
MSWeb,cuSPARSE,5,0.963212,0.03927007601214955,1.121274,0.007186625077183268,2.084488,0.03567660465907595
MSWeb,BiSp2D,5,0.990202,0.002531535107400239,0.246506,0.0036145303982675126,1.2546059999999999,0.027009785819217442
MovieLens,cuBLASLt,5,8.823768,0.03459531933658113,17.447972,0.7864003448435152,26.271743999999998,0.8161507211477551
MovieLens,CUTLASS,5,8.806163999999999,0.027498194122523696,18.005026,0.8207360756845049,26.81119,0.8150839967451194
MovieLens,cuSPARSE,5,8.822621999999999,0.019767377671304886,7.21012,0.1831327796982287,16.032742,0.19346816732992542
MovieLens,BiSp2D,5,8.892238,0.03012006507297093,1.787398,0.07124588423200318,10.692198,0.09172929804593495
